"src_id","user_id","account_id","platform_id","account_name","ads_id","ads_name","created_date","start_date","modified_date","end_date","campaign_id","campaign_name","currency_id","spent_amount","reach","impressions","frequency","cpm","link_clicks","ctr","post_comments","post_reactions","post_shares","video_views","six_sec_video_view","full_video_view","est_ad_recall_lift","est_ad_recall_lift_rate","active_view_measurability","landing_page_clicks","paid_comments","paid_likes","paid_shares"
"FACEBOOK.23856136254460537.2023-07-31","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136254460537","03 - FB+IG - 3. 7. - Dynamic - Jak můžete vyhrát - DP 03","","2023-07-31","","2023-07-31","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","19.750","13020","14986","","1.318","101","0.674","","","","","","","","","","","","",""
"FACEBOOK.23856138846420537.2023-07-01","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856138846420537","02 - IG story - 30. 6. - Paliva HU adaptace - edukativně","","2023-07-01","","2023-07-01","23856137887310537","MOL - IG stories - link clicks - 06/2023","EUR","21.660","15016","16891","","1.282","88","0.521","","","","","","","","","","","","",""
"FACEBOOK.23855704829810537.2023-07-07","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855704829810537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-07","","2023-07-07","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","4.600","3139","4207","","1.093","21","0.499","","","","","","","","","","","","",""
"FACEBOOK.23856436185300537.2023-07-18","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856436185300537","01 - FB - 4. 7. - Static - carousel","","2023-07-18","","2023-07-18","23856436185130537","MOL - link clicks - FB - MOL MOVE kampaň - 05-07/2023","EUR","19.230","9662","15680","","1.226","110","0.702","","","","","","","","","","","","",""
"FACEBOOK.23855705100190537.2023-07-04","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705100190537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-04","","2023-07-04","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","17.230","11728","14097","","1.222","116","0.823","","","","","","","","","","","","",""
"FACEBOOK.23855705427720537.2023-07-08","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427720537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-08","","2023-07-08","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","0.730","534","651","","1.121","5","0.768","","","","","","","","","","","","",""
"FACEBOOK.23855705253800537.2023-07-14","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705253800537","12 - FB+IG - 22. 6. - Animace DP - Stáhni aplikaci a dostaneš kávu","","2023-07-14","","2023-07-14","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","16.570","10576","12709","","1.304","65","0.511","","","","","","","","","","","","",""
"FACEBOOK.23856136034030537.2023-07-22","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136034030537","02 - FB+IG - 3. 7. - Dynamic - Mrkejte - DP 02","","2023-07-22","","2023-07-22","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","18.460","12228","13395","","1.378","100","0.747","","","","","","","","","","","","",""
"FACEBOOK.23856136034030537.2023-07-29","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136034030537","02 - FB+IG - 3. 7. - Dynamic - Mrkejte - DP 02","","2023-07-29","","2023-07-29","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","13.300","8144","9000","","1.478","99","1.100","","","","","","","","","","","","",""
"FACEBOOK.23857009983240537.2023-07-29","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23857009983240537","01 - FB+IG - 12. 7. - Carousel - Návod, jak vyhrát Mercedes-Benz CLA - DP 04","","2023-07-29","","2023-07-29","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","20.550","12356","19924","","1.031","117","0.587","","","","","","","","","","","","",""
"FACEBOOK.23856437119550537.2023-07-18","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856437119550537","01 - IG - 4. 7. - Static - carousel","","2023-07-18","","2023-07-18","23856437119540537","MOL - link clicks - IG - MOL MOVE kampaň - 05-07/2023","EUR","16.610","6786","7631","","2.177","36","0.472","","","","","","","","","","","","",""
"FACEBOOK.23856437119550537.2023-07-16","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856437119550537","01 - IG - 4. 7. - Static - carousel","","2023-07-16","","2023-07-16","23856437119540537","MOL - link clicks - IG - MOL MOVE kampaň - 05-07/2023","EUR","17.810","7172","8392","","2.122","44","0.524","","","","","","","","","","","","",""
"FACEBOOK.23854443355690537.2023-07-12","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23854443355690537","01 - IG reels - 12. 5. - Video - Hero 01","","2023-07-12","","2023-07-12","23854443054980537","MOL - video views - IG - MOL MOVE kampaň - 05-07/2023","EUR","0.000","1","1","","0.000","0","0.000","","","","","","","","","","","","",""
"FACEBOOK.23856436185300537.2023-07-04","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856436185300537","01 - FB - 4. 7. - Static - carousel","","2023-07-04","","2023-07-04","23856436185130537","MOL - link clicks - FB - MOL MOVE kampaň - 05-07/2023","EUR","14.020","7418","10735","","1.306","91","0.848","","","","","","","","","","","","",""
"FACEBOOK.23856437119550537.2023-07-15","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856437119550537","01 - IG - 4. 7. - Static - carousel","","2023-07-15","","2023-07-15","23856437119540537","MOL - link clicks - IG - MOL MOVE kampaň - 05-07/2023","EUR","16.870","6926","7871","","2.143","29","0.368","","","","","","","","","","","","",""
"FACEBOOK.23856136254460537.2023-07-20","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136254460537","03 - FB+IG - 3. 7. - Dynamic - Jak můžete vyhrát - DP 03","","2023-07-20","","2023-07-20","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","24.740","14656","17729","","1.395","131","0.739","","","","","","","","","","","","",""
"FACEBOOK.23857009983240537.2023-07-14","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23857009983240537","01 - FB+IG - 12. 7. - Carousel - Návod, jak vyhrát Mercedes-Benz CLA - DP 04","","2023-07-14","","2023-07-14","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","20.810","11692","19542","","1.065","118","0.604","","","","","","","","","","","","",""
"FACEBOOK.23855705010990537.2023-07-12","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705010990537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-12","","2023-07-12","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","5.720","4349","5145","","1.112","47","0.914","","","","","","","","","","","","",""
"FACEBOOK.23856437119550537.2023-07-08","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856437119550537","01 - IG - 4. 7. - Static - carousel","","2023-07-08","","2023-07-08","23856437119540537","MOL - link clicks - IG - MOL MOVE kampaň - 05-07/2023","EUR","17.780","7974","9255","","1.921","34","0.367","","","","","","","","","","","","",""
"FACEBOOK.23855705100190537.2023-07-13","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705100190537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-13","","2023-07-13","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","4.440","3122","3504","","1.267","31","0.885","","","","","","","","","","","","",""
"FACEBOOK.23856437119550537.2023-07-05","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856437119550537","01 - IG - 4. 7. - Static - carousel","","2023-07-05","","2023-07-05","23856437119540537","MOL - link clicks - IG - MOL MOVE kampaň - 05-07/2023","EUR","17.590","7354","8354","","2.106","37","0.443","","","","","","","","","","","","",""
"FACEBOOK.23855705010990537.2023-07-07","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705010990537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-07","","2023-07-07","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","4.030","3306","3879","","1.039","37","0.954","","","","","","","","","","","","",""
"FACEBOOK.23857009983240537.2023-07-18","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23857009983240537","01 - FB+IG - 12. 7. - Carousel - Návod, jak vyhrát Mercedes-Benz CLA - DP 04","","2023-07-18","","2023-07-18","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","20.510","13592","22652","","0.905","106","0.468","","","","","","","","","","","","",""
"FACEBOOK.23854443355690537.2023-07-14","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23854443355690537","01 - IG reels - 12. 5. - Video - Hero 01","","2023-07-14","","2023-07-14","23854443054980537","MOL - video views - IG - MOL MOVE kampaň - 05-07/2023","EUR","0.000","1","1","","0.000","0","0.000","","","","","","","","","","","","",""
"FACEBOOK.23856136254460537.2023-07-30","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136254460537","03 - FB+IG - 3. 7. - Dynamic - Jak můžete vyhrát - DP 03","","2023-07-30","","2023-07-30","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","17.620","11123","13237","","1.331","75","0.567","","","","","","","","","","","","",""
"FACEBOOK.23856134223990537.2023-07-27","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856134223990537","01 - FB+IG - 3. 7. - Dynamic - Natankuj s MOL MOVE a vyhraj - DP 01","","2023-07-27","","2023-07-27","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","4.570","2840","3138","","1.456","24","0.765","","","","","","","","","","","","",""
"FACEBOOK.23855705427700537.2023-07-16","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427700537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-16","","2023-07-16","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","1.200","793","894","","1.342","9","1.007","","","","","","","","","","","","",""
"FACEBOOK.23856375163950537.2023-07-05","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856375163950537","01 - IG story - 3. 7. - Dynamic - Teaser","","2023-07-05","","2023-07-05","23856375163940537","MOL - IG stories - brand awareness - PWG kampaň - 07-09/2023","EUR","34.420","34439","34439","","0.999","30","0.087","","","","","","","","","","","","",""
"FACEBOOK.23856136034030537.2023-07-27","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856136034030537","02 - FB+IG - 3. 7. - Dynamic - Mrkejte - DP 02","","2023-07-27","","2023-07-27","23856134224000537","MOL - FB+IG - link clicks - PWG kampaň - 07-09/2023","EUR","11.330","6454","7186","","1.577","72","1.002","","","","","","","","","","","","",""
"FACEBOOK.23855705427670537.2023-07-12","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427670537","11 - FB+IG - 22. 6. - Animace DP - Za registraci káva zdarma","","2023-07-12","","2023-07-12","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","0.340","230","269","","1.264","1","0.372","","","","","","","","","","","","",""
"FACEBOOK.23856138846420537.2023-07-03","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23856138846420537","02 - IG story - 30. 6. - Paliva HU adaptace - edukativně","","2023-07-03","","2023-07-03","23856137887310537","MOL - IG stories - link clicks - 06/2023","EUR","8.060","6752","6807","","1.184","23","0.338","","","","","","","","","","","","",""
"FACEBOOK.23855705427720537.2023-07-17","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427720537","09 - FB+IG - 22. 6. - Animace DP - Už máte appku?","","2023-07-17","","2023-07-17","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","1.510","892","1164","","1.297","14","1.203","","","","","","","","","","","","",""
"FACEBOOK.23855705427700537.2023-07-13","","352868678590886","FACEBOOK","WMC | Grey - MOL - (EUR)","23855705427700537","10 - FB+IG - 22. 6. - Animace DP - Trvalé slevy","","2023-07-13","","2023-07-13","23855139695340537","MOL - link clicks - FB+IG - MOL MOVE kampaň - 05-07/2023","EUR","1.280","860","1036","","1.236","12","1.158","","","","","","","","","","","","",""
